Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Bahamas, The",BHS,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.695688115,-12.40803847,2.942205949,3.086563875,0.904288551,5.346751153,3.772778618,-15.35450415,3.3143742,10.89525566,1.081249675,4.841861661,1.916709587,-3.033365821,2.674095399,3.599095996,-1.341561578,5.817597049,-4.115497648,-4.423829946,0.291420768,-0.695432274,0.985565445,-0.826827021,3.04515782,4.264885578,1.605452394,-0.122061837,2.54624958,0.998239687,-19.12118128
Bosnia and Herzegovina,BIH,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.624219823,5.071793355,4.700720354,5.23690655,1.841952581,4.344383022,5.732530655,4.32945556,-1.864132747,0.969971837,1.721609932,1.184238457,0.401429015,2.628010236,2.275487268,2.027463939,3.917255119,3.164131186,4.926291041,-4.036006423
Belarus,BLR,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.848992596,-14.53592296,-9.007716854,2.769590725,-14.28521896,1.883101828,13.84034845,10.10053069,7.290682646,5.400232679,7.330058286,3.106622153,4.461252564,7.055360254,8.173053055,8.096701041,4.611974488,4.823325447,0.81863794,9.244380735,7.709143795,-0.971989656,5.680743769,3.002455411,-1.479087266,-2.547865604,1.384535671,2.915853294,1.462845234,-2.113460819
Belize,BLZ,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,1.404834454,-2.346807984,0.018681573,3.474932493,0.725773124,4.995656913,8.086226424,8.920186418,12.46402472,8.613482105,6.783673664,12.60472879,6.017501247,2.279219995,0.858671893,1.411105519,3.386277429,5.452545084,7.907855159,11.05358001,6.670663728,7.323405537,8.168206252,3.516521697,3.575738352,2.892593454,5.263673069,1.538727139,0.549556639,3.707475877,1.57544403,2.319661724,0.864922413,4.280011797,6.815106529,6.811525536,3.321458285,2.782351851,2.770967306,-16.71640548
Bermuda,BMU,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.387847602,-4.97180333,-0.253454599,-3.435877702,0.232163335,-0.83302538,3.575379696,-0.680826353,-0.27555731,
Bolivia,BOL,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,2.525252525,7.600281492,5.511136493,3.193504736,1.337529504,7.608695652,6.661856662,11.31905299,8.04132064,6.224221972,5.142449719,5.501243219,4.504673398,6.117218933,9.201120556,8.045468619,5.553053873,4.975857589,2.774545119,1.225802973,3.105404945,-4.05551008,-4.221157392,-1.615197273,0.075843773,-3.709685047,1.754842222,2.043657269,3.714436086,3.103806931,4.335725414,4.169791311,4.272453124,4.32209584,3.668299619,5.50679182,7.485009263,6.192457384,4.309614495,1.775350092,1.667232134,1.356690668,1.212622974,2.300720044,2.204781457,3.963165467,4.536923313,4.020272214,4.906882389,5.1606352,4.550407196,5.38775626,6.330025766,5.319138946,5.996634952,5.569320051,4.895247335,5.264305246,3.513039275,-8.565926667
Brazil,BRA,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,3.21,1.802521992,1.298120485,2.29913766,2.534233805,1.421481523,1.82031519,3.846752146,2.063714092,3.122349533,0.991319774,5.009555731,3.660628387,4.331245108,5.826511243,4.824019135,2.066823772,5.803652851,3.457822446,2.902909935,2.753827776,0.985403433,-2.733761528,-2.221343647,0.765663238,2.087143729,1.655387515,-4.463341157
Barbados,BRB,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,0.80066363,5.827699247,4.145713261,8.366885581,4.190110016,0.092437988,-4.672385472,-0.78498947,3.126206098,3.125,4.917437852,5.534417157,3.572599148,4.367088608,-3.911461492,-3.770906438,-5.082800096,1.744689693,4.82173175,1.166179339,2.385526488,4.503519178,7.092623584,-0.978064663,5.813461864,-2.213628707,0.204555785,3.320630536,1.659641036,2.902307583,10.62597517,3.50711447,0.109751585,-5.590878956,-0.658287749,-0.493811558,-0.065952398,-1.512439961,0.160123996,2.61609996,3.530725558,0.490039009,-0.293223057,0.589524528,
Brunei Darussalam,BRN,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.580429533,-0.766012052,3.838507271,2.702788524,2.226698733,2.88108595,-0.465565256,7.433857247,-1.176620352,1.882905457,2.51156631,6.103675112,2.767821312,1.648335809,1.995892471,4.122050041,7.406385279,9.237564703,2.644359592,2.08956993,3.812311995,4.935760298,5.542527252,4.673689962,0.593339967,-1.131996315,-1.671275984,1.084381523,0.781851181,3.447955412,-2.082968027
Bhutan,BTN,"Services, value added (annual % growth)",NV.SRV.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.000618711,-2.122482797,2.49940814,3.682223104,17.40798386,14.11379818,14.0442359,10.10914444,9.628465249,32.58173559,1.73912339,-0.218155838,5.847384437,2.42366875,5.163557798,13.27301467,11.39274531,11.18541876,6.726929412,12.07831856,5.924483393,7.23283141,9.374427816,10.79916392,14.80226624,8.156646566,6.064800899,4.674285454,13.26635431,12.13350637,13.25636623,0.666123571,1.621037464,8.240239024,8.504916207,9.800436079,6.717971346,8.907363368,13.20362139,-6.852973991
