Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Bahamas, The",BHS,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72824754,-6.024438716,-1.185503679,4.136350592,-0.832937381,2.582561519,3.615221406,8.444410699,5.3533575,4.8309717,5.194468237,0.521224908,0,0.675497903,11.69711705,-2.140177555,1.944134018,-1.425616296,-2.201162868,-3.176243231,1.274627986,6.282057,7.205092427,0.86729314,-5.445950404,1.393153514,-4.346693113,-2.554452041,11.71901082,-1.832834066,-43.74163179
Bosnia and Herzegovina,BIH,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78422478,-5.176899522,13.09664368,17.47858502,15.72809481,18.772041,12.38160399,1.145217854,-3.176011111,13.90052379,4.644009558,0.107439302,7.856493015,4.163053111,9.782805636,9.367880373,11.82100482,7.044894237,0.424666726,-15.95602627
Belarus,BLR,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.099997743,-34.00000482,-22.39999128,-1.199999704,-22.00000077,7.799987761,33.90000453,-8.299998413,6.999995186,12.70000607,13.09201616,8.405623596,8.592715219,13.50053364,-2.699979988,8.17246513,5.600577119,2.100095651,-7.832240123,7.6691956,30.40010672,11.1999874,-14.60000081,4.566058743,2.101643828,2.599959116,7.45546794,3.800193842,1,-3.099999979
Belize,BLZ,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,49.43798695,-27.17629801,-4.645979166,39.35350943,-7.348777031,15.31715055,16.83810012,8.161669543,10.05584308,9.25180497,-2.3561508,29.4727745,3.026624005,6.838649582,-5.122782042,5.340459091,13.1635256,5.109629773,11.47411114,10.21723007,4.916483142,9.574936118,13.19876345,5.725625456,10.32246011,23.31112131,-13.48171324,4.010810714,-9.766029568,14.01286479,2.85818917,6.160448258,3.754360928,-1.436026164,-0.701714891,-9.534150072,6.138952056,7.508640392,-7.045416006,-14.08086859
Bermuda,BMU,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.346849881,7.328829023,-10.23255814,5.851317135,-3.278791461,-8.454296994
Bolivia,BOL,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,0.587371512,7.883211679,18.96869245,6.656346749,3.846153846,13.20754717,23.82716049,0.498504487,2.678571429,-9.710144928,11.55086485,10.41862211,11.23087385,-0.999602604,-4.400049404,10.75869642,-2.009214977,-2.990804392,1.558377815,-4.787651785,1.293043913,-13.12178798,1.904326205,-6.065499099,-18.74207654,19.13251089,1.104860972,6.708924856,24.60968839,11.06841316,7.293801244,1.112813384,5.304588321,15.09650087,9.118295184,4.068665555,-2.110210278,6.482426975,-12.80479229,15.04059293,8.377238307,5.693238451,12.16304638,16.62054251,8.336318974,11.33683568,3.089171808,2.17453347,-10.75565759,9.852625826,4.593155803,13.29558544,4.094895917,10.86546137,-5.918699325,-5.714343226,-4.974505643,5.19000968,-1.819688884,-18.31831167
Brazil,BRA,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,5.194085919,-7.406970943,27.99995372,-13.54186158,3.616848235,11.62784051,-3.125257589,16.12945409,19.44440199,6.201381164,5.509978543,24.16316901,14.25477205,2.333785846,11.57242284,-0.320630555,-0.354325244,13.25174546,9.299822918,22.61425418,21.32025343,-9.191079439,14.33205908,21.95461189,7.026705936,-10.58055343,19.23530357,13.0789544,5.085515345,-4.921854349,10.63274413,16.54731909,11.68033209,4.008281134,-2.032879979,-0.421250559,11.01928874,4.908205273,5.706289591,12.86054937,9.230526905,6.47682195,11.01593939,14.47377972,9.644189742,4.837427905,6.176101667,0.409250958,-9.247066472,11.72172154,4.811946379,0.707641622,1.830295082,-1.569680425,6.819563936,0.863125559,4.908793375,4.053083691,-2.382225947,-1.756083322
Barbados,BRB,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.277560912,8.769074128,6.041900553,-2.787087701,2.848847557,16.81369066,-3.443588592,-5.068042738,-9.952216311,13.96157325,11.88941098,1.303036186,5.771518101,2.263688931,-0.714021623,-1.260144995,3.6700856,-9.637389612,-6.216043209,-5.271720996,-7.797476451,-3.000238114,1.211030194,-5.67547902,0.857118368,-10.80139373,-1.89505907,-2.705136845,2.846839792,14.88085801,7.524922119
Bhutan,BTN,Exports of goods and services (annual % growth),NE.EXP.GNFS.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.05155175,0.360236776,-43.16998297,10.78968289,47.97289217,7.182305558,19.92208119,7.901741737,9.053825683,3.27067258,-1.443754199,2.917203743,16.26215424,27.71864166,34.34982564,51.66732208,15.76654844,-9.842167394,-2.386908645,7.521286097,3.202966902,-2.400577733,3.871711052,-5.290830539,-3.176505894,-5.278638552,6.450965365,4.579968762,14.39473962,-20.21986505
