Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bahrain,BHR,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.780990898,4.686710179,0.075136966,2.343972491,1.452041689,-1.753145189,8.897917936,4.771802255,1.302317681,2.852021088,0.550045611,1.067049631,2.26416752,-1.19974526
"Bahamas, The",BHS,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.847212078,-2.781233926,1.356382556,-10.72531337,12.08193137,-0.635086346,3.05195192,19.79529087,-13.26589931,-17.62734584,10.36615134,-34.63580065,25.89668396,51.56781939,-12.20002364,22.28355998,-10.41620788,-51.63470993,99.18678526,-5.473335034,50.42515859,12.52579632,11.41854717,-6.705789737,11.65234735,-2.576434215,8.836389281,-3.745221279,-5.715247391,-1.170926746,-29.51885566
Bosnia and Herzegovina,BIH,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.204023254,3.071435082,6.018894317,8.158793535,10.13046485,9.504041651,8.099605257,9.138084752,-4.586377218,1.636302889,-0.322015697,-2.573029827,3.93266599,1.727902617,3.615924272,4.727981302,5.043229144,3.850787649,-0.530035001,-1.847393298
Belarus,BLR,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.419843072,-8.389326466,-11.7129805,-17.3612747,-13.44112046,3.372659639,17.96421117,10.84166343,7.570681323,5.816849374,4.799733835,6.971359815,10.61760605,18.82974162,13.5544629,14.14235793,9.300201565,15.54315671,0.303744022,12.0841008,7.243499574,2.037146916,-1.920531406,1.501974656,-7.345879299,-4.670197582,3.558677876,5.151705731,1.67224455,-0.320120719
Belize,BLZ,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,6.212794443,13.69615011,9.021033266,11.51240803,6.359336723,-0.521504696,15.22764972,7.554704904,5.711058393,37.94662947,3.847195816,-2.157659048,-1.639451384,-1.47128639,1.019198905,3.558094593,10.01391896,5.761158927,14.86544628,10.98846398,7.250397009,10.5418457,8.683963979,-5.671302458,-0.265322275,-1.792341691,1.647601905,-2.059366641,9.283077026,24.72218898,0.554152758,2.173929163,-3.446132409,7.383682057,-0.902902044,24.7192281,2.235115991,6.535100966,16.70352049,-4.036257529,-2.811000149,-6.019496645,-7.045855923,-2.504950723,-3.087211267,1.736285858,0.939896117,0.931144327,-4.200048555,-1.571211353
Bermuda,BMU,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.33924791,-9.343446568,-3.708647985,-3.559034618,-1.024734662,0.788891913,4.182075778,7.911335271,15.31057225,
Bolivia,BOL,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,-1.46484375,10.10901883,9.989959839,6.709265176,10.26518392,8.960434445,11.96155215,6.009538951,7.168566287,4.170165127,7.279263828,12.19332227,9.963827688,2.399820574,3.287824584,3.899439235,6.492505159,0.971039182,-4.528007424,-5.65729307,-3.323302673,-9.235619899,-1.155742969,-4.258077391,-7.313245695,-9.515578185,3.602558388,4.0109483,7.99439873,7.090054407,4.213851614,1.798297718,5.425094611,4.677313217,6.987587606,3.06044374,3.714005542,7.081010697,-1.9612929,2.43327319,0.207331828,2.679038607,0.895130619,6.302871842,6.474664457,6.934288649,6.997928245,10.57985216,2.896253825,3.843105449,4.8663769,5.203912084,7.530067052,5.236424365,2.621170651,4.008365614,2.249260344,2.276880449,0.123099409,-12.02856426
Brazil,BRA,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,11.81061938,14.18884417,17.03858525,8.49387735,4.900881304,11.73577975,3.144534637,6.439828034,6.79716483,9.25,-8.84,-0.04,-5.92,6.31,8.27,11.66,0.99,-2.6,2.86,-8.18,0.26,-4.22,7.01,6.731315441,1.912212099,0.974616588,4.37499246,-2.090004351,-2.607915503,4.411836275,-0.64239998,3.803219389,0.103619616,8.214889563,1.994387131,2.006454814,6.206664155,4.099611408,-4.702288794,10.20307129,4.114325151,-0.722824356,2.16621844,-1.508183799,-5.761503313,-4.566298554,-0.500729978,0.716981132,0.366846514,-3.482545385
Barbados,BRB,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,15.23714627,-2.194168713,9.810952452,6.253180047,4.438881278,-1.042966506,-6.744868035,3.333333333,2.434570907,-4.693998812,5.985037406,-1.176470588,6.904761905,5.512249443,-4.485488127,-4.585635263,-12.73885399,1.393498276,1.178006562,6.274263217,5.53864553,7.554787927,-2.573729833,2.751790146,-0.482055181,-0.645858372,4.60455356,-0.517870774,2.706923028,7.146483144,-1.981221208,-0.102389398,6.475288775,-14.82572855,-10.03319897,-0.915534366,-1.267930705,-1.486443667,-0.497968827,1.731768126,-1.80700451,1.798917856,-2.299050027,-3.355177432,
Brunei Darussalam,BRN,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.288145364,5.383696541,5.318835844,-1.006703595,3.671075363,5.357925794,4.653653497,-6.072406316,-0.264075767,3.596782131,2.979952629,0.831163476,4.494362269,3.481726179,-0.54650879,-1.790433756,2.856554943,-5.572802413,-5.440828856,-5.016608163,1.720210425,3.248369816,-1.387163907,-5.636112376,-4.363067359,-0.033795566,-2.942531815,1.51446826,-0.363798898,4.191816303,2.909149182
